Date,BPCL.NS,IBULHSGFIN.NS,IOC.NS,M&M.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,HINDPETRO.NS,TATASTEEL.NS
2017-01-02,427.00,678.65,163.73,614.90,164.80,192.25,183.65,300.00,387.53
2017-01-03,433.70,662.25,172.63,611.28,165.45,192.50,188.05,309.53,384.24
2017-01-04,436.97,643.75,171.48,610.97,164.85,194.80,186.75,307.30,386.29
2017-01-05,448.47,653.65,176.27,613.67,165.00,199.65,190.85,315.30,399.48
2017-01-06,443.23,657.45,173.18,610.22,164.00,202.55,188.80,311.13,399.72
2017-01-09,435.40,674.00,171.40,602.00,163.05,198.00,186.55,308.67,402.05
2017-01-10,440.20,688.75,173.35,606.75,162.30,198.45,186.55,319.50,411.49
2017-01-11,440.60,716.00,174.55,616.00,164.50,197.65,189.80,327.13,427.06
2017-01-12,439.53,725.75,177.38,606.70,173.70,199.55,198.00,329.43,426.40
2017-01-13,438.43,748.45,175.73,608.92,171.00,201.30,197.15,325.93,425.25
2017-01-16,445.40,766.10,176.43,605.50,170.65,198.35,199.40,326.37,436.78
2017-01-17,443.30,777.00,175.55,602.22,175.70,194.80,197.75,321.57,432.78
2017-01-18,436.97,762.35,174.30,607.30,172.75,198.00,198.45,325.33,446.21
2017-01-19,449.27,753.50,179.88,605.40,174.15,200.85,201.80,330.03,445.07
2017-01-20,443.17,750.20,176.18,596.03,170.45,197.30,199.40,328.50,433.02
2017-01-23,451.37,755.45,178.88,594.45,169.60,199.90,200.20,341.27,439.97
2017-01-24,454.93,751.15,183.40,610.35,172.35,201.60,203.35,345.30,442.31
2017-01-25,474.13,755.45,190.15,621.90,171.35,204.90,203.10,362.97,447.31
2017-01-27,469.83,753.35,192.02,625.85,177.50,204.50,204.55,356.73,447.12
2017-01-30,469.77,766.75,188.90,622.80,175.70,201.85,205.70,352.07,440.21
2017-01-31,454.43,750.65,183.20,620.05,172.35,202.55,207.20,347.57,441.17
2017-02-01,461.83,766.05,187.73,651.20,170.90,200.20,205.80,359.23,452.17
2017-02-02,467.93,781.10,191.30,632.47,172.55,200.85,203.95,368.03,454.41
2017-02-03,465.73,794.00,193.68,630.35,171.95,200.95,201.70,362.57,450.45
2017-02-06,470.23,798.10,198.25,632.95,173.60,199.00,201.10,367.47,451.03
