Date,BPCL.NS,IBULHSGFIN.NS,IOC.NS,M&M.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,HINDPETRO.NS,TATASTEEL.NS,Portfolio Value
2017-01-02,4270.00,6786.50,1637.30,6149.00,1648.00,1922.50,1836.50,3000.00,3875.30,31125.1
2017-01-03,4337.00,6622.50,1726.30,6112.80,1654.50,1925.00,1880.50,3095.30,3842.40,31196.3
2017-01-04,4369.70,6437.50,1714.80,6109.70,1648.50,1948.00,1867.50,3073.00,3862.90,31031.600000000002
2017-01-05,4484.70,6536.50,1762.70,6136.70,1650.00,1996.50,1908.50,3153.00,3994.80,31623.399999999998
2017-01-06,4432.30,6574.50,1731.80,6102.20,1640.00,2025.50,1888.00,3111.30,3997.20,31502.8
2017-01-09,4354.00,6740.00,1714.00,6020.00,1630.50,1980.00,1865.50,3086.70,4020.50,31411.2
2017-01-10,4402.00,6887.50,1733.50,6067.50,1623.00,1984.50,1865.50,3195.00,4114.90,31873.4
2017-01-11,4406.00,7160.00,1745.50,6160.00,1645.00,1976.50,1898.00,3271.30,4270.60,32532.9
2017-01-12,4395.30,7257.50,1773.80,6067.00,1737.00,1995.50,1980.00,3294.30,4264.00,32764.399999999998
2017-01-13,4384.30,7484.50,1757.30,6089.20,1710.00,2013.00,1971.50,3259.30,4252.50,32921.6
2017-01-16,4454.00,7661.00,1764.30,6055.00,1706.50,1983.50,1994.00,3263.70,4367.80,33249.8
2017-01-17,4433.00,7770.00,1755.50,6022.20,1757.00,1948.00,1977.50,3215.70,4327.80,33206.700000000004
2017-01-18,4369.70,7623.50,1743.00,6073.00,1727.50,1980.00,1984.50,3253.30,4462.10,33216.6
2017-01-19,4492.70,7535.00,1798.80,6054.00,1741.50,2008.50,2018.00,3300.30,4450.70,33399.5
2017-01-20,4431.70,7502.00,1761.80,5960.30,1704.50,1973.00,1994.00,3285.00,4330.20,32942.5
2017-01-23,4513.70,7554.50,1788.80,5944.50,1696.00,1999.00,2002.00,3412.70,4399.70,33310.9
2017-01-24,4549.30,7511.50,1834.00,6103.50,1723.50,2016.00,2033.50,3453.00,4423.10,33647.4
2017-01-25,4741.30,7554.50,1901.50,6219.00,1713.50,2049.00,2031.00,3629.70,4473.10,34312.6
2017-01-27,4698.30,7533.50,1920.20,6258.50,1775.00,2045.00,2045.50,3567.30,4471.20,34314.5
2017-01-30,4697.70,7667.50,1889.00,6228.00,1757.00,2018.50,2057.00,3520.70,4402.10,34237.5
2017-01-31,4544.30,7506.50,1832.00,6200.50,1723.50,2025.50,2072.00,3475.70,4411.70,33791.7
2017-02-01,4618.30,7660.50,1877.30,6512.00,1709.00,2002.00,2058.00,3592.30,4521.70,34551.1
2017-02-02,4679.30,7811.00,1913.00,6324.70,1725.50,2008.50,2039.50,3680.30,4544.10,34725.9
2017-02-03,4657.30,7940.00,1936.80,6303.50,1719.50,2009.50,2017.00,3625.70,4504.50,34713.8
2017-02-06,4702.30,7981.00,1982.50,6329.50,1736.00,1990.00,2011.00,3674.70,4510.30,34917.3
2017-02-07,4777.70,8280.50,1958.80,6294.70,1730.00,1933.00,1999.00,3727.70,4504.50,35205.9
2017-02-08,4803.30,8354.50,1978.80,6386.50,1719.00,1944.00,2011.00,3821.00,4484.00,35502.1
2017-02-09,4845.70,8204.50,1937.30,6458.50,1682.00,1929.00,2021.50,3846.00,4381.20,35305.7
2017-02-10,4770.30,8132.50,1900.20,6388.30,1703.50,1936.50,1999.00,3811.00,4460.70,35102.0
2017-02-13,4763.70,8318.00,1899.50,6493.30,1725.00,1922.50,2030.50,3855.30,4502.60,35510.4
2017-02-14,4613.70,8236.00,1872.00,6509.20,1708.50,1957.00,2008.50,3641.00,4500.70,35046.6
2017-02-15,4498.00,8161.50,1846.00,6504.20,1690.50,1949.50,2014.50,3501.00,4383.50,34548.7
2017-02-16,4462.70,8318.00,1879.80,6599.20,1703.00,1941.00,2011.50,3534.70,4477.40,34927.3
2017-02-17,4526.70,8542.50,1926.30,6585.80,1697.50,1944.00,2025.50,3620.00,4460.70,35329.0
2017-02-20,4668.30,8478.00,1927.50,6579.70,1718.00,1953.00,2064.50,3714.70,4640.30,35744.0
2017-02-21,4693.00,8689.50,1956.50,6558.30,1725.00,1962.50,2061.50,3749.30,4677.50,36073.1
2017-02-22,4762.00,8726.50,1950.20,6556.00,1667.00,1956.00,2016.00,3692.00,4611.70,35937.4
2017-02-23,4784.30,8645.00,1925.50,6524.20,1655.00,1960.00,1991.50,3806.70,4627.90,35920.1
2017-02-27,4718.00,8678.00,1929.50,6469.20,1654.00,1947.00,1927.50,3731.30,4578.90,35633.4
2017-02-28,4467.00,8713.00,1925.20,6560.80,1629.50,1935.50,1921.50,3585.00,4598.90,35336.4
2017-03-01,4396.30,8706.00,1908.50,6743.80,1599.50,1938.50,1926.50,3457.00,4767.00,35443.1
2017-03-02,4234.30,8519.00,1883.50,6625.00,1559.50,1927.00,1897.50,3383.70,4712.70,34742.2
2017-03-03,4218.70,8423.50,1875.20,6610.30,1561.00,1930.50,1908.50,3488.00,4717.00,34732.7
2017-03-06,4250.30,8536.50,1895.70,6649.00,1584.00,1938.00,1938.50,3469.30,4694.10,34955.4
2017-03-07,4306.00,8522.50,1893.50,6601.30,1574.00,1964.00,1945.50,3518.70,4592.20,34917.7
2017-03-08,4260.00,8558.50,1873.80,6517.80,1571.00,1929.50,1956.00,3433.70,4501.20,34601.5
2017-03-09,4213.30,8517.00,1873.80,6519.70,1583.00,1896.50,1944.50,3438.00,4472.60,34458.4
2017-03-10,4155.70,8566.00,1862.30,6513.80,1571.00,1916.00,1925.50,3420.30,4456.40,34387.0
2017-03-14,4244.70,9039.00,1870.00,6630.00,1596.00,1919.00,1936.50,3459.70,4502.20,35197.1
2017-03-15,4243.30,9126.00,1848.80,6617.80,1586.50,1907.00,1929.50,3436.00,4564.10,35259.0
2017-03-16,4318.30,9470.00,1880.70,6604.50,1612.50,1918.00,1951.00,3468.70,4760.40,35984.1
2017-03-17,4280.70,9648.50,1879.30,6519.20,1599.50,1900.00,1940.00,3422.30,4784.60,35974.1
2017-03-20,4290.70,9637.00,1854.80,6501.00,1614.00,1908.50,1936.00,3409.00,4731.80,35882.8
2017-03-21,4279.30,9315.00,1860.50,6472.00,1621.50,1940.50,1932.50,3368.00,4729.40,35518.7
2017-03-22,4300.00,9052.50,1863.80,6354.20,1607.50,1925.00,1921.00,3406.30,4650.30,35080.6
2017-03-23,4367.00,9333.50,1884.00,6372.80,1644.00,1936.00,1930.50,3478.30,4720.80,35666.9
2017-03-24,4331.30,9590.50,1863.50,6379.00,1646.00,1919.00,1937.50,3454.00,4698.90,35819.7
2017-03-27,4287.70,9574.00,1854.50,6328.80,1633.50,1889.00,1948.50,3455.30,4539.80,35511.1
2017-03-28,4306.30,9623.00,1845.20,6385.00,1649.00,1869.00,1967.00,3457.30,4575.00,35676.8
2017-03-29,4287.30,9613.00,1850.70,6353.30,1639.50,1869.50,1968.50,3465.00,4615.10,35661.9
2017-03-30,4271.00,9906.00,1884.00,6399.20,1631.00,1839.00,1954.50,3448.70,4549.30,35882.700000000004
2017-03-31,4332.30,9977.50,1935.20,6434.50,1660.00,1850.00,1973.00,3504.30,4598.90,36265.7
2017-04-03,4256.00,9959.00,1905.70,6432.50,1646.50,1858.00,1962.00,3457.30,4628.90,36105.9
2017-04-05,4251.70,9863.00,1906.80,6453.80,1665.00,1862.50,1950.00,3489.00,4699.80,36141.600000000006
2017-04-06,4308.00,9770.00,1928.80,6444.50,1677.00,1875.50,1972.00,3497.00,4779.40,36252.2
2017-04-07,4502.30,9558.50,1986.80,6377.80,1682.50,1864.00,1950.00,3572.00,4698.90,36192.8
2017-04-10,4668.70,9352.00,2056.30,6404.00,1667.50,1864.50,1953.00,3614.70,4719.40,36300.1
2017-04-11,4736.00,9371.50,2047.50,6407.80,1670.00,1878.50,1991.50,3590.00,4650.30,36343.1
2017-04-12,4782.00,9367.00,2046.30,6399.70,1649.50,1867.00,1976.00,3616.30,4548.40,36252.2
2017-04-13,4874.00,9568.00,2112.00,6402.50,1646.50,1848.00,2000.00,3728.00,4416.40,36595.4
2017-04-17,4825.00,9771.00,2122.30,6346.70,1593.00,1831.00,2023.00,3712.30,4405.50,36629.8
2017-04-18,4828.00,9622.50,2154.30,6315.80,1617.00,1809.50,2023.50,3688.70,4286.40,36345.7
2017-04-19,4819.30,9571.50,2176.30,6297.20,1649.00,1798.50,2112.00,3692.70,4294.50,36411.0
2017-04-20,4808.70,9792.50,2136.50,6358.50,1637.00,1791.00,2089.00,3689.70,4329.20,36632.1
2017-04-21,4772.00,9899.00,2123.80,6291.00,1672.00,1802.50,2056.00,3714.00,4295.40,36625.7
2017-04-24,4765.70,10064.00,2109.50,6323.00,1665.50,1814.50,2048.50,3710.00,4294.00,36794.7
2017-04-25,4929.00,10156.00,2182.50,6537.20,1654.50,1815.00,2086.00,3730.70,4331.60,37422.5
2017-04-26,4878.30,10109.00,2168.80,6763.80,1656.00,1801.00,2057.00,3572.30,4323.50,37329.7
2017-04-27,4906.70,10044.00,2216.50,6686.00,1641.00,1791.00,2077.50,3616.70,4247.80,37227.200000000004
2017-04-28,4795.00,10169.50,2200.20,6677.80,1645.00,1865.50,2080.00,3574.30,4280.20,37287.5
2017-05-02,4932.30,10725.50,2215.20,6704.70,1621.00,1924.00,2060.00,3684.00,4240.20,38106.899999999994
2017-05-03,4908.00,10836.00,2209.50,6743.30,1621.00,1911.00,2110.50,3534.70,4199.70,38073.7
2017-05-04,4876.70,10768.50,2178.20,6674.50,1626.50,1889.00,2106.50,3543.00,4215.40,37878.3
2017-05-05,4831.70,11060.00,2165.50,6606.30,1597.00,1838.00,2090.00,3490.00,4131.10,37809.6
2017-05-08,4770.70,11199.50,2142.50,6666.70,1606.00,1859.50,2100.00,3540.70,4114.90,38000.50000000001
2017-05-09,4809.30,10859.50,2203.80,6718.30,1612.50,1861.00,2083.50,3515.70,4130.10,37793.700000000004
2017-05-10,4855.00,10829.00,2207.30,6882.00,1622.00,1879.50,2105.00,3528.00,4167.70,38075.5
2017-05-11,4871.00,10692.50,2160.20,6880.80,1602.50,1836.00,2082.00,3513.00,4203.00,37841.0
