Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS
2017-01-02,273.80,447.75,904.65,2598.50,870.05
2017-01-03,273.95,455.25,896.60,2619.20,884.00
2017-01-04,274.90,453.10,906.60,2684.10,871.90
2017-01-05,287.50,458.05,916.50,2723.35,899.75
2017-01-06,286.05,455.20,929.50,2707.35,878.45
2017-01-09,284.70,452.75,910.10,2723.15,878.25
2017-01-10,293.90,447.35,923.60,2740.75,899.75
2017-01-11,295.65,453.60,934.65,2718.55,896.15
2017-01-12,292.75,455.20,933.55,2737.15,891.20
2017-01-13,294.05,472.80,933.25,2708.55,900.05
2017-01-16,300.65,477.25,935.25,2721.65,917.70
2017-01-17,294.85,487.20,960.15,2728.90,914.35
2017-01-18,291.90,488.50,963.35,2699.70,930.35
2017-01-19,295.35,483.80,962.70,2695.30,926.30
2017-01-20,284.15,450.75,967.20,2701.05,907.70
2017-01-23,286.25,445.00,964.70,2706.50,929.65
2017-01-24,293.15,451.25,973.45,2798.95,929.75
2017-01-25,304.65,463.55,977.70,2849.65,999.85
2017-01-27,303.95,472.85,969.60,2854.10,995.85
2017-01-30,302.60,471.90,973.20,2825.05,1054.80
2017-01-31,293.35,466.00,970.70,2833.45,1036.90
2017-02-01,304.60,475.65,991.00,2854.15,1066.15
2017-02-02,304.15,482.55,989.00,2807.45,1054.15
2017-02-03,303.55,490.70,985.90,2808.10,1047.35
2017-02-06,309.20,498.30,992.50,2799.40,1073.70
2017-02-07,303.65,493.40,999.30,2769.80,1060.95
2017-02-08,305.55,487.60,997.70,2781.90,1049.45
2017-02-09,304.80,485.25,1002.85,2784.30,1040.85
2017-02-10,311.25,488.90,993.05,2800.80,1055.45
2017-02-13,309.55,490.30,984.75,2806.50,1058.95
2017-02-14,307.00,486.90,980.80,2778.10,1059.50
2017-02-15,299.95,488.20,981.70,2789.60,1040.40
2017-02-16,298.60,493.15,969.90,2783.65,1094.35
2017-02-17,297.25,489.10,960.80,2778.90,1089.50
2017-02-20,300.30,481.05,975.75,2791.50,1095.90
2017-02-21,304.15,504.35,991.50,2799.25,1095.90
2017-02-22,300.30,525.30,1020.30,2799.75,1076.25
2017-02-23,297.25,528.15,1009.00,2814.10,1068.20
2017-02-27,296.65,508.95,1001.95,2795.05,1091.60
2017-02-28,301.75,506.65,1024.20,2755.90,1108.20
2017-03-01,302.50,513.40,1032.75,2769.00,1075.85
2017-03-02,293.85,506.30,1028.75,2832.05,1048.75
2017-03-03,296.35,512.90,1013.70,2832.80,1046.25
2017-03-06,303.15,518.65,1029.40,2883.10,1033.95
2017-03-07,308.25,511.80,1023.95,2879.45,1052.40
2017-03-08,306.50,510.15,1022.55,2869.95,1081.20
2017-03-09,300.90,516.40,1031.10,2870.70,1087.20
2017-03-10,298.80,515.90,1030.25,2864.55,1094.50
2017-03-14,309.25,510.90,1071.40,2866.70,1126.70
2017-03-15,310.30,511.70,1064.05,2873.10,1134.55
2017-03-16,325.70,513.65,1087.55,2936.40,1163.50
2017-03-17,325.40,517.15,1079.45,2912.50,1159.30
2017-03-20,325.45,502.85,1079.70,2923.55,1172.55
2017-03-21,325.75,488.30,1068.70,2906.85,1174.55
2017-03-22,323.65,485.45,1057.85,2853.80,1159.70
