Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,Portfolio Value
2017-01-02,2738.00,4477.50,9046.50,25985.00,8700.50,50947.5
2017-01-03,2739.50,4552.50,8966.00,26192.00,8840.00,51290.0
2017-01-04,2749.00,4531.00,9066.00,26841.00,8719.00,51906.0
2017-01-05,2875.00,4580.50,9165.00,27233.50,8997.50,52851.5
2017-01-06,2860.50,4552.00,9295.00,27073.50,8784.50,52565.5
2017-01-09,2847.00,4527.50,9101.00,27231.50,8782.50,52489.5
2017-01-10,2939.00,4473.50,9236.00,27407.50,8997.50,53053.5
2017-01-11,2956.50,4536.00,9346.50,27185.50,8961.50,52986.0
2017-01-12,2927.50,4552.00,9335.50,27371.50,8912.00,53098.5
2017-01-13,2940.50,4728.00,9332.50,27085.50,9000.50,53087.0
2017-01-16,3006.50,4772.50,9352.50,27216.50,9177.00,53525.0
2017-01-17,2948.50,4872.00,9601.50,27289.00,9143.50,53854.5
2017-01-18,2919.00,4885.00,9633.50,26997.00,9303.50,53738.0
2017-01-19,2953.50,4838.00,9627.00,26953.00,9263.00,53634.5
2017-01-20,2841.50,4507.50,9672.00,27010.50,9077.00,53108.5
2017-01-23,2862.50,4450.00,9647.00,27065.00,9296.50,53321.0
2017-01-24,2931.50,4512.50,9734.50,27989.50,9297.50,54465.5
2017-01-25,3046.50,4635.50,9777.00,28496.50,9998.50,55954.0
2017-01-27,3039.50,4728.50,9696.00,28541.00,9958.50,55963.5
2017-01-30,3026.00,4719.00,9732.00,28250.50,10548.00,56275.5
2017-01-31,2933.50,4660.00,9707.00,28334.50,10369.00,56004.0
2017-02-01,3046.00,4756.50,9910.00,28541.50,10661.50,56915.5
2017-02-02,3041.50,4825.50,9890.00,28074.50,10541.50,56373.0
2017-02-03,3035.50,4907.00,9859.00,28081.00,10473.50,56356.0
2017-02-06,3092.00,4983.00,9925.00,27994.00,10737.00,56731.0
2017-02-07,3036.50,4934.00,9993.00,27698.00,10609.50,56271.0
2017-02-08,3055.50,4876.00,9977.00,27819.00,10494.50,56222.0
2017-02-09,3048.00,4852.50,10028.50,27843.00,10408.50,56180.5
2017-02-10,3112.50,4889.00,9930.50,28008.00,10554.50,56494.5
2017-02-13,3095.50,4903.00,9847.50,28065.00,10589.50,56500.5
2017-02-14,3070.00,4869.00,9808.00,27781.00,10595.00,56123.0
2017-02-15,2999.50,4882.00,9817.00,27896.00,10404.00,55998.5
2017-02-16,2986.00,4931.50,9699.00,27836.50,10943.50,56396.5
2017-02-17,2972.50,4891.00,9608.00,27789.00,10895.00,56155.5
2017-02-20,3003.00,4810.50,9757.50,27915.00,10959.00,56445.0
2017-02-21,3041.50,5043.50,9915.00,27992.50,10959.00,56951.5
2017-02-22,3003.00,5253.00,10203.00,27997.50,10762.50,57219.0
2017-02-23,2972.50,5281.50,10090.00,28141.00,10682.00,57167.0
2017-02-27,2966.50,5089.50,10019.50,27950.50,10916.00,56942.0
2017-02-28,3017.50,5066.50,10242.00,27559.00,11082.00,56967.0
2017-03-01,3025.00,5134.00,10327.50,27690.00,10758.50,56935.0
2017-03-02,2938.50,5063.00,10287.50,28320.50,10487.50,57097.0
2017-03-03,2963.50,5129.00,10137.00,28328.00,10462.50,57020.0
2017-03-06,3031.50,5186.50,10294.00,28831.00,10339.50,57682.5
2017-03-07,3082.50,5118.00,10239.50,28794.50,10524.00,57758.5
2017-03-08,3065.00,5101.50,10225.50,28699.50,10812.00,57903.5
2017-03-09,3009.00,5164.00,10311.00,28707.00,10872.00,58063.0
2017-03-10,2988.00,5159.00,10302.50,28645.50,10945.00,58040.0
2017-03-14,3092.50,5109.00,10714.00,28667.00,11267.00,58849.5
2017-03-15,3103.00,5117.00,10640.50,28731.00,11345.50,58937.0
2017-03-16,3257.00,5136.50,10875.50,29364.00,11635.00,60268.0
2017-03-17,3254.00,5171.50,10794.50,29125.00,11593.00,59938.0
2017-03-20,3254.50,5028.50,10797.00,29235.50,11725.50,60041.0
2017-03-21,3257.50,4883.00,10687.00,29068.50,11745.50,59641.5
2017-03-22,3236.50,4854.50,10578.50,28538.00,11597.00,58804.5
2017-03-23,3256.00,4882.50,10616.00,28659.50,11857.50,59271.5
2017-03-24,3232.50,4893.50,10642.50,28430.00,11770.50,58969.0
2017-03-27,3193.00,4871.50,10429.00,28084.00,11850.00,58427.5
2017-03-28,3208.50,5028.00,10578.50,28248.50,11947.50,59011.0
2017-03-29,3210.00,5042.00,10681.00,28311.00,11807.50,59051.5
2017-03-30,3393.00,4992.50,10701.00,28228.50,11810.50,59125.5
2017-03-31,3396.00,4908.00,10735.00,28054.50,11711.00,58804.5
2017-04-03,3421.00,5006.00,10898.50,27836.00,11817.50,58979.0
2017-04-05,3581.50,5083.00,10825.50,27608.50,11731.00,58829.5
2017-04-06,3566.50,5087.00,10869.00,28063.00,11981.00,59566.5
2017-04-07,3471.50,5042.00,10829.50,28304.50,12016.00,59663.5
2017-04-10,3521.50,5107.50,10592.00,28370.00,12407.50,59998.5
2017-04-11,3338.00,5150.50,10725.00,28224.50,12559.50,59997.5
2017-04-12,3276.00,5060.00,10704.50,28395.00,12662.00,60097.5
2017-04-13,3204.50,5075.50,10783.00,28481.50,12739.00,60283.5
2017-04-17,3200.00,5023.50,10593.50,28521.50,12595.50,59934.0
2017-04-18,3193.50,4996.50,10404.50,28244.00,12360.50,59199.0
2017-04-19,3258.00,4995.00,10489.00,28087.00,12429.50,59258.5
2017-04-20,3324.00,4880.00,10588.00,28315.00,12520.00,59627.0
2017-04-21,3260.00,4862.50,10654.50,28243.00,12469.50,59489.5
2017-04-24,3310.00,4986.50,10699.50,28677.50,12717.50,60391.0
2017-04-25,3313.50,5164.00,10979.00,28968.00,13417.00,61841.5
2017-04-26,3235.00,5171.50,11046.50,28854.50,13097.00,61404.5
2017-04-27,3225.00,5066.00,11053.50,28660.50,12857.00,60862.0
2017-04-28,3277.00,5096.50,11204.50,28640.00,12762.00,60980.0
2017-05-02,3306.00,5055.50,11121.00,28980.00,12686.00,61148.5
2017-05-03,3274.50,5008.50,11189.00,29332.50,12701.00,61505.5
2017-05-04,3394.50,5188.50,11326.00,29425.50,12965.50,62300.0
2017-05-05,3449.50,5045.00,11468.00,28876.50,12742.50,61581.5
2017-05-08,3405.00,5112.00,11673.50,28569.50,12720.00,61480.0
2017-05-09,3475.00,5182.00,11653.00,28731.50,12861.00,61902.5
2017-05-10,3519.00,5263.50,11583.00,29048.00,13270.00,62683.5
