Date,TATASTEEL.NS,ZEEL.NS,YESBANK.NS,WIPRO.NS,PNB.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,ONGC.NS,SAIL.NS
2017-01-02,387.53,451.60,228.93,235.77,115.60,3371.35,488.00,2361.35,192.25,50.50
2017-01-03,384.24,458.30,232.58,233.50,118.05,3326.70,491.55,2368.25,192.50,51.65
2017-01-04,386.29,458.60,232.63,237.80,115.25,3301.40,500.60,2379.50,194.80,50.55
2017-01-05,399.48,470.70,242.04,240.20,117.65,3382.85,488.10,2334.40,199.65,51.95
2017-01-06,399.72,463.10,249.35,234.98,119.05,3322.75,469.75,2281.40,202.55,52.00
2017-01-09,402.05,465.10,251.24,236.00,119.75,3291.85,473.45,2303.70,198.00,52.35
2017-01-10,411.49,467.75,252.92,238.25,119.40,3279.45,473.50,2315.35,198.45,52.85
2017-01-11,427.06,478.30,263.57,238.10,123.60,3353.10,474.05,2324.40,197.65,55.95
2017-01-12,426.40,476.45,265.10,241.60,126.00,3352.50,481.20,2344.35,199.55,57.25
2017-01-13,425.25,477.55,263.61,242.32,125.10,3319.70,488.50,2249.30,201.30,57.60
2017-01-16,436.78,481.00,265.75,242.38,128.70,3340.20,487.15,2258.55,198.35,59.00
2017-01-17,432.78,480.15,264.76,241.20,130.25,3380.25,486.75,2278.75,194.80,59.35
2017-01-18,446.21,482.05,269.19,241.48,130.35,3501.65,483.65,2295.10,198.00,59.60
2017-01-19,445.07,477.55,269.50,239.50,132.25,3461.45,481.40,2291.00,200.85,59.50
2017-01-20,433.02,467.15,271.74,238.95,127.95,3471.65,468.65,2285.35,197.30,58.15
2017-01-23,439.97,482.95,276.59,239.88,129.75,3527.80,469.70,2306.70,199.90,61.35
2017-01-24,442.31,479.40,271.78,240.75,131.40,3656.85,469.90,2318.35,201.60,61.85
2017-01-25,447.31,498.20,281.36,236.85,133.25,3680.40,465.65,2353.00,204.90,62.05
2017-01-27,447.12,496.75,279.75,232.77,137.35,3686.30,467.10,2357.80,204.50,63.70
2017-01-30,440.21,496.35,277.80,232.88,137.65,3693.90,471.60,2332.90,201.85,64.10
2017-01-31,441.17,489.15,279.20,229.00,135.55,3694.45,452.20,2229.80,202.55,63.55
