Date,TATASTEEL.NS,ZEEL.NS,YESBANK.NS,WIPRO.NS,PNB.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,ONGC.NS,SAIL.NS,Portfolio Value
2017-01-02,3875.30,4516.00,2289.30,2357.70,1156.00,33713.50,4880.00,23613.50,1922.50,505.00,78828.8
2017-01-03,3842.40,4583.00,2325.80,2335.00,1180.50,33267.00,4915.50,23682.50,1925.00,516.50,78573.2
2017-01-04,3862.90,4586.00,2326.30,2378.00,1152.50,33014.00,5006.00,23795.00,1948.00,505.50,78574.2
2017-01-05,3994.80,4707.00,2420.40,2402.00,1176.50,33828.50,4881.00,23344.00,1996.50,519.50,79270.2
2017-01-06,3997.20,4631.00,2493.50,2349.80,1190.50,33227.50,4697.50,22814.00,2025.50,520.00,77946.5
2017-01-09,4020.50,4651.00,2512.40,2360.00,1197.50,32918.50,4734.50,23037.00,1980.00,523.50,77934.9
2017-01-10,4114.90,4677.50,2529.20,2382.50,1194.00,32794.50,4735.00,23153.50,1984.50,528.50,78094.1
2017-01-11,4270.60,4783.00,2635.70,2381.00,1236.00,33531.00,4740.50,23244.00,1976.50,559.50,79357.8
2017-01-12,4264.00,4764.50,2651.00,2416.00,1260.00,33525.00,4812.00,23443.50,1995.50,572.50,79704.0
2017-01-13,4252.50,4775.50,2636.10,2423.20,1251.00,33197.00,4885.00,22493.00,2013.00,576.00,78502.3
2017-01-16,4367.80,4810.00,2657.50,2423.80,1287.00,33402.00,4871.50,22585.50,1983.50,590.00,78978.6
2017-01-17,4327.80,4801.50,2647.60,2412.00,1302.50,33802.50,4867.50,22787.50,1948.00,593.50,79490.4
2017-01-18,4462.10,4820.50,2691.90,2414.80,1303.50,35016.50,4836.50,22951.00,1980.00,596.00,81072.8
2017-01-19,4450.70,4775.50,2695.00,2395.00,1322.50,34614.50,4814.00,22910.00,2008.50,595.00,80580.7
2017-01-20,4330.20,4671.50,2717.40,2389.50,1279.50,34716.50,4686.50,22853.50,1973.00,581.50,80199.1
2017-01-23,4399.70,4829.50,2765.90,2398.80,1297.50,35278.00,4697.00,23067.00,1999.00,613.50,81345.9
2017-01-24,4423.10,4794.00,2717.80,2407.50,1314.00,36568.50,4699.00,23183.50,2016.00,618.50,82741.9
2017-01-25,4473.10,4982.00,2813.60,2368.50,1332.50,36804.00,4656.50,23530.00,2049.00,620.50,83629.7
2017-01-27,4471.20,4967.50,2797.50,2327.70,1373.50,36863.00,4671.00,23578.00,2045.00,637.00,83731.4
2017-01-30,4402.10,4963.50,2778.00,2328.80,1376.50,36939.00,4716.00,23329.00,2018.50,641.00,83492.4
2017-01-31,4411.70,4891.50,2792.00,2290.00,1355.50,36944.50,4522.00,22298.00,2025.50,635.50,82166.2
2017-02-01,4521.70,5044.50,2826.20,2280.00,1405.50,37797.50,4497.00,21679.00,2002.00,657.00,82710.4
2017-02-02,4544.10,5074.00,2774.00,2278.20,1426.00,37215.50,4611.00,22076.50,2008.50,661.00,82668.8
2017-02-03,4504.50,4958.50,2795.60,2288.80,1501.50,37375.00,4804.50,22325.50,2009.50,657.00,83220.4
2017-02-06,4510.30,5040.00,2796.90,2305.50,1492.00,37548.50,4775.00,22407.50,1990.00,657.50,83523.2
