Date,BAJAJ-AUTO.NS,BAJAJFINSV.NS,INFRATEL.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ITC.NS,IOC.NS,INFY.NS,MARUTI.NS
2017-01-02,2598.50,2949.65,344.20,3030.55,825.35,240.95,163.73,1001.10,5466.00
2017-01-03,2619.20,3016.65,341.50,2986.55,829.85,243.35,172.63,993.85,5508.40
2017-01-04,2684.10,2960.85,352.35,3004.90,821.60,245.45,171.48,997.75,5502.15
2017-01-05,2723.35,3018.45,350.10,3071.75,833.15,246.75,176.27,996.15,5634.95
2017-01-06,2707.35,2978.55,354.25,3067.55,833.75,242.70,173.18,972.25,5615.55
2017-01-09,2723.15,2992.65,349.20,3031.45,831.05,245.85,171.40,970.35,5658.50
2017-01-10,2740.75,3010.15,353.55,3059.00,830.55,248.95,173.35,970.55,5674.85
2017-01-11,2718.55,3018.50,353.25,3084.25,841.50,247.55,174.55,969.10,5762.35
2017-01-12,2737.15,3018.60,358.85,3083.20,825.90,244.65,177.38,1000.05,5777.35
2017-01-13,2708.55,3019.60,353.80,3046.55,827.95,249.65,175.73,975.80,5699.50
2017-01-16,2721.65,3012.60,355.55,3091.75,827.50,248.80,176.43,955.65,5676.90
2017-01-17,2728.90,3019.70,353.30,3132.65,840.65,251.95,175.55,955.40,5669.40
2017-01-18,2699.70,3046.65,350.55,3086.05,864.95,250.85,174.30,950.80,5684.45
2017-01-19,2695.30,3154.75,358.25,3102.35,860.30,254.15,179.88,958.10,5718.35
2017-01-20,2701.05,3064.00,353.20,3050.60,860.45,255.40,176.18,948.70,5668.95
2017-01-23,2706.50,3063.45,346.80,3096.80,862.40,259.65,178.88,952.70,5700.00
2017-01-24,2798.95,3128.80,350.65,3134.30,860.35,259.85,183.40,945.55,5737.20
2017-01-25,2849.65,3169.70,351.75,3247.45,869.20,265.50,190.15,936.60,5802.55
2017-01-27,2854.10,3169.40,353.90,3215.85,855.95,257.40,192.02,942.15,5915.90
2017-01-30,2825.05,3205.45,328.70,3194.70,853.55,256.10,188.90,949.35,5894.95
2017-01-31,2833.45,3245.85,293.80,3172.35,855.40,258.10,183.20,928.60,5894.25
2017-02-01,2854.15,3328.40,294.35,3286.95,854.05,269.70,187.73,916.75,6179.20
2017-02-02,2807.45,3462.10,292.50,3228.75,845.30,274.30,191.30,935.90,6144.35
2017-02-03,2808.10,3419.95,299.85,3214.00,849.75,273.05,193.68,936.10,6115.45
2017-02-06,2799.40,3721.95,304.55,3270.45,860.55,276.80,198.25,935.25,6149.70
2017-02-07,2769.80,3691.25,301.30,3259.80,855.25,277.10,195.88,942.25,6213.20
2017-02-08,2781.90,3663.00,310.05,3222.55,852.95,274.80,197.88,936.50,6194.65
2017-02-09,2784.30,3577.00,319.00,3265.10,850.75,277.65,193.73,946.00,6157.10
2017-02-10,2800.80,3630.95,317.05,3268.60,850.90,273.35,190.02,968.30,6112.25
2017-02-13,2806.50,3637.25,320.50,3226.55,862.30,270.60,189.95,984.35,6022.00
2017-02-14,2778.10,3592.90,318.75,3162.95,848.15,270.80,187.20,987.70,5939.85
2017-02-15,2789.60,3628.35,323.75,3097.85,850.05,273.40,184.60,981.80,5862.70
2017-02-16,2783.65,3671.20,319.25,3124.45,846.10,266.65,187.98,1012.10,6024.55
2017-02-17,2778.90,3685.50,307.75,3087.20,841.25,268.15,192.63,1000.10,5989.75
2017-02-20,2791.50,3641.75,308.75,3102.10,854.45,266.05,192.75,1010.25,6093.15
2017-02-21,2799.25,3624.10,295.60,3125.80,862.75,263.15,195.65,1013.60,6063.15
2017-02-22,2799.75,3750.20,300.75,3166.20,864.15,263.45,195.02,990.15,6079.65
2017-02-23,2814.10,3847.20,297.90,3176.75,858.25,265.65,192.55,1008.85,6031.00
2017-02-27,2795.05,3836.60,288.15,3175.90,866.45,264.60,192.95,1012.40,5951.50
2017-02-28,2755.90,3914.15,284.25,3138.10,865.90,262.20,192.52,1012.40,5922.50
2017-03-01,2769.00,3923.85,288.95,3178.15,875.50,268.50,190.85,1025.15,5919.60
2017-03-02,2832.05,3875.50,289.80,3229.30,877.50,264.75,188.35,1023.30,5918.75
2017-03-03,2832.80,3761.75,307.90,3272.85,877.15,261.55,187.52,1031.20,5887.75
