Date,BAJAJ-AUTO.NS,BAJAJFINSV.NS,INFRATEL.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ITC.NS,IOC.NS,INFY.NS,MARUTI.NS,Portfolio Value
2017-01-02,25985.00,29496.50,3442.00,30305.50,8253.50,2409.50,1637.30,10011.00,54660.00,166200.3
2017-01-03,26192.00,30166.50,3415.00,29865.50,8298.50,2433.50,1726.30,9938.50,55084.00,167119.8
2017-01-04,26841.00,29608.50,3523.50,30049.00,8216.00,2454.50,1714.80,9977.50,55021.50,167406.3
2017-01-05,27233.50,30184.50,3501.00,30717.50,8331.50,2467.50,1762.70,9961.50,56349.50,170509.2
2017-01-06,27073.50,29785.50,3542.50,30675.50,8337.50,2427.00,1731.80,9722.50,56155.50,169451.3
2017-01-09,27231.50,29926.50,3492.00,30314.50,8310.50,2458.50,1714.00,9703.50,56585.00,169736.0
2017-01-10,27407.50,30101.50,3535.50,30590.00,8305.50,2489.50,1733.50,9705.50,56748.50,170617.0
2017-01-11,27185.50,30185.00,3532.50,30842.50,8415.00,2475.50,1745.50,9691.00,57623.50,171696.0
2017-01-12,27371.50,30186.00,3588.50,30832.00,8259.00,2446.50,1773.80,10000.50,57773.50,172231.3
2017-01-13,27085.50,30196.00,3538.00,30465.50,8279.50,2496.50,1757.30,9758.00,56995.00,170571.3
2017-01-16,27216.50,30126.00,3555.50,30917.50,8275.00,2488.00,1764.30,9556.50,56769.00,170668.3
2017-01-17,27289.00,30197.00,3533.00,31326.50,8406.50,2519.50,1755.50,9554.00,56694.00,171275.0
2017-01-18,26997.00,30466.50,3505.50,30860.50,8649.50,2508.50,1743.00,9508.00,56844.50,171083.0
2017-01-19,26953.00,31547.50,3582.50,31023.50,8603.00,2541.50,1798.80,9581.00,57183.50,172814.3
2017-01-20,27010.50,30640.00,3532.00,30506.00,8604.50,2554.00,1761.80,9487.00,56689.50,170785.3
2017-01-23,27065.00,30634.50,3468.00,30968.00,8624.00,2596.50,1788.80,9527.00,57000.00,171671.8
2017-01-24,27989.50,31288.00,3506.50,31343.00,8603.50,2598.50,1834.00,9455.50,57372.00,173990.5
2017-01-25,28496.50,31697.00,3517.50,32474.50,8692.00,2655.00,1901.50,9366.00,58025.50,176825.5
2017-01-27,28541.00,31694.00,3539.00,32158.50,8559.50,2574.00,1920.20,9421.50,59159.00,177566.7
2017-01-30,28250.50,32054.50,3287.00,31947.00,8535.50,2561.00,1889.00,9493.50,58949.50,176967.5
2017-01-31,28334.50,32458.50,2938.00,31723.50,8554.00,2581.00,1832.00,9286.00,58942.50,176650.0
2017-02-01,28541.50,33284.00,2943.50,32869.50,8540.50,2697.00,1877.30,9167.50,61792.00,181712.8
2017-02-02,28074.50,34621.00,2925.00,32287.50,8453.00,2743.00,1913.00,9359.00,61443.50,181819.5
2017-02-03,28081.00,34199.50,2998.50,32140.00,8497.50,2730.50,1936.80,9361.00,61154.50,181099.3
2017-02-06,27994.00,37219.50,3045.50,32704.50,8605.50,2768.00,1982.50,9352.50,61497.00,185169.0
2017-02-07,27698.00,36912.50,3013.00,32598.00,8552.50,2771.00,1958.80,9422.50,62132.00,185058.3
2017-02-08,27819.00,36630.00,3100.50,32225.50,8529.50,2748.00,1978.80,9365.00,61946.50,184342.8
2017-02-09,27843.00,35770.00,3190.00,32651.00,8507.50,2776.50,1937.30,9460.00,61571.00,183706.3
2017-02-10,28008.00,36309.50,3170.50,32686.00,8509.00,2733.50,1900.20,9683.00,61122.50,184122.2
2017-02-13,28065.00,36372.50,3205.00,32265.50,8623.00,2706.00,1899.50,9843.50,60220.00,183200.0
2017-02-14,27781.00,35929.00,3187.50,31629.50,8481.50,2708.00,1872.00,9877.00,59398.50,180864.0
2017-02-15,27896.00,36283.50,3237.50,30978.50,8500.50,2734.00,1846.00,9818.00,58627.00,179921.0
2017-02-16,27836.50,36712.00,3192.50,31244.50,8461.00,2666.50,1879.80,10121.00,60245.50,182359.3
2017-02-17,27789.00,36855.00,3077.50,30872.00,8412.50,2681.50,1926.30,10001.00,59897.50,181512.3
2017-02-20,27915.00,36417.50,3087.50,31021.00,8544.50,2660.50,1927.50,10102.50,60931.50,182607.5
2017-02-21,27992.50,36241.00,2956.00,31258.00,8627.50,2631.50,1956.50,10136.00,60631.50,182430.5
2017-02-22,27997.50,37502.00,3007.50,31662.00,8641.50,2634.50,1950.20,9901.50,60796.50,184093.2
2017-02-23,28141.00,38472.00,2979.00,31767.50,8582.50,2656.50,1925.50,10088.50,60310.00,184922.5
2017-02-27,27950.50,38366.00,2881.50,31759.00,8664.50,2646.00,1929.50,10124.00,59515.00,183836.0
2017-02-28,27559.00,39141.50,2842.50,31381.00,8659.00,2622.00,1925.20,10124.00,59225.00,183479.2
2017-03-01,27690.00,39238.50,2889.50,31781.50,8755.00,2685.00,1908.50,10251.50,59196.00,184395.5
2017-03-02,28320.50,38755.00,2898.00,32293.00,8775.00,2647.50,1883.50,10233.00,59187.50,184993.0
2017-03-03,28328.00,37617.50,3079.00,32728.50,8771.50,2615.50,1875.20,10312.00,58877.50,184204.7
2017-03-06,28831.00,38177.00,3101.00,33198.00,8731.00,2641.00,1895.70,10339.00,59348.50,186262.2
2017-03-07,28794.50,38051.00,3101.00,33054.50,8720.50,2642.50,1893.50,10198.00,58885.00,185340.5
2017-03-08,28699.50,38320.50,3099.50,32727.00,8713.00,2641.50,1873.80,10078.00,58641.50,184794.3
2017-03-09,28707.00,38048.50,3051.50,32890.00,8703.00,2649.50,1873.80,10115.50,59644.00,185682.8
2017-03-10,28645.50,38260.50,3084.50,33110.50,8752.00,2634.50,1862.30,10218.50,59556.00,186124.3
2017-03-14,28667.00,39312.50,3100.50,33574.50,9137.50,2671.00,1870.00,10348.00,61324.00,190005.0
2017-03-15,28731.00,39386.50,3089.00,34011.00,9005.00,2682.00,1848.80,10119.50,61373.50,190246.3
2017-03-16,29364.00,40400.50,3105.00,33480.00,9062.00,2684.50,1880.70,10288.50,61554.50,191819.7
