Date,HINDUNILVR.NS
2017-01-02,825.35
2017-01-03,829.85
2017-01-04,821.60
2017-01-05,833.15
2017-01-06,833.75
2017-01-09,831.05
2017-01-10,830.55
2017-01-11,841.50
2017-01-12,825.90
2017-01-13,827.95
2017-01-16,827.50
2017-01-17,840.65
2017-01-18,864.95
2017-01-19,860.30
2017-01-20,860.45
2017-01-23,862.40
2017-01-24,860.35
2017-01-25,869.20
2017-01-27,855.95
2017-01-30,853.55
2017-01-31,855.40
2017-02-01,854.05
2017-02-02,845.30
2017-02-03,849.75
2017-02-06,860.55
2017-02-07,855.25
2017-02-08,852.95
2017-02-09,850.75
2017-02-10,850.90
2017-02-13,862.30
2017-02-14,848.15
2017-02-15,850.05
2017-02-16,846.10
2017-02-17,841.25
2017-02-20,854.45
2017-02-21,862.75
2017-02-22,864.15
2017-02-23,858.25
2017-02-27,866.45
2017-02-28,865.90
2017-03-01,875.50
2017-03-02,877.50
2017-03-03,877.15
2017-03-06,873.10
2017-03-07,872.05
2017-03-08,871.30
2017-03-09,870.30
2017-03-10,875.20
2017-03-14,913.75
2017-03-15,900.50
2017-03-16,906.20
2017-03-17,902.55
2017-03-20,898.45
2017-03-21,903.45
2017-03-22,904.95
2017-03-23,902.00
2017-03-24,900.20
2017-03-27,898.80
2017-03-28,903.10
2017-03-29,912.55
2017-03-30,919.20
2017-03-31,911.75
2017-04-03,920.65
2017-04-05,935.35
2017-04-06,934.65
2017-04-07,924.50
2017-04-10,925.95
2017-04-11,923.70
2017-04-12,923.75
2017-04-13,923.85
2017-04-17,914.05
2017-04-18,912.75
2017-04-19,908.55
2017-04-20,915.70
2017-04-21,906.40
2017-04-24,904.55
2017-04-25,924.00
2017-04-26,941.35
2017-04-27,947.30
2017-04-28,934.95
2017-05-02,928.10
2017-05-03,934.00
2017-05-04,956.70
2017-05-05,953.90
2017-05-08,954.85
2017-05-09,952.05
2017-05-10,996.35
2017-05-11,978.75
2017-05-12,980.20
2017-05-15,983.25
2017-05-16,1000.40
2017-05-17,1009.40
2017-05-18,990.25
2017-05-19,1008.00
2017-05-22,1018.60
2017-05-23,1024.80
2017-05-24,1038.05
2017-05-25,1043.45
2017-05-26,1040.95
2017-05-29,1072.25
2017-05-30,1072.60
2017-05-31,1067.00
2017-06-01,1095.35
2017-06-02,1086.40
2017-06-05,1097.75
2017-06-06,1091.55
2017-06-07,1106.35
2017-06-08,1093.50
2017-06-09,1095.35
2017-06-12,1099.65
2017-06-13,1102.75
2017-06-14,1113.70
2017-06-15,1104.00
2017-06-16,1091.80
2017-06-19,1095.65
2017-06-20,1093.05
2017-06-21,1123.45
2017-06-22,1094.05
2017-06-23,1097.90
2017-06-27,1092.10
2017-06-28,1090.00
2017-06-29,1088.10
2017-06-30,1079.60
2017-07-03,1097.75
2017-07-04,1088.10
2017-07-05,1096.70
2017-07-06,1092.50
2017-07-07,1097.70
2017-07-10,1096.25
2017-07-11,1106.45
2017-07-12,1131.65
2017-07-13,1134.70
2017-07-14,1139.30
2017-07-17,1152.95
2017-07-18,1157.85
2017-07-19,1154.35
2017-07-20,1152.90
2017-07-21,1158.65
2017-07-24,1159.35
2017-07-25,1149.60
2017-07-26,1164.55
2017-07-27,1171.90
2017-07-28,1153.85
2017-07-31,1155.75
2017-08-01,1173.95
2017-08-02,1168.75
2017-08-03,1169.90
2017-08-04,1192.10
2017-08-07,1186.30
2017-08-08,1191.00
2017-08-09,1185.35
2017-08-10,1170.70
2017-08-11,1152.80
2017-08-14,1155.70
2017-08-16,1186.35
2017-08-17,1177.30
2017-08-18,1202.20
2017-08-21,1191.45
2017-08-22,1199.60
2017-08-23,1188.15
2017-08-24,1179.70
2017-08-28,1199.70
2017-08-29,1190.45
2017-08-30,1204.30
2017-08-31,1219.75
2017-09-01,1216.15
2017-09-04,1197.15
2017-09-05,1205.20
2017-09-06,1206.40
2017-09-07,1208.75
2017-09-08,1207.55
2017-09-11,1219.90
2017-09-12,1249.80
2017-09-13,1250.95
2017-09-14,1247.85
2017-09-15,1246.00
2017-09-18,1280.05
2017-09-19,1279.30
2017-09-20,1259.35
2017-09-21,1256.70
2017-09-22,1239.20
2017-09-25,1247.15
2017-09-26,1217.35
2017-09-27,1205.90
2017-09-28,1202.80
2017-09-29,1173.90
2017-10-03,1186.35
2017-10-04,1197.50
2017-10-05,1187.65
2017-10-06,1207.30
2017-10-09,1220.25
2017-10-10,1209.20
2017-10-11,1218.05
2017-10-12,1241.00
2017-10-13,1248.60
2017-10-16,1281.30
2017-10-17,1282.15
2017-10-18,1263.95
2017-10-19,1257.70
2017-10-23,1249.95
2017-10-24,1270.05
2017-10-25,1272.45
2017-10-26,1273.70
2017-10-27,1260.15
2017-10-30,1234.20
2017-10-31,1237.45
2017-11-01,1258.00
2017-11-02,1241.50
2017-11-03,1239.50
2017-11-06,1240.60
2017-11-07,1234.20
2017-11-08,1235.30
2017-11-09,1252.90
2017-11-10,1290.65
2017-11-13,1279.50
2017-11-14,1283.90
2017-11-15,1265.00
2017-11-16,1276.50
2017-11-17,1278.15
2017-11-20,1274.50
2017-11-21,1277.35
2017-11-22,1270.45
2017-11-23,1267.50
2017-11-24,1265.95
2017-11-27,1260.30
2017-11-28,1267.85
2017-11-29,1276.15
2017-11-30,1272.45
2017-12-01,1250.50
2017-12-04,1268.60
2017-12-05,1261.00
2017-12-06,1275.60
2017-12-07,1291.95
2017-12-08,1326.65
2017-12-11,1324.05
2017-12-12,1314.65
2017-12-13,1315.05
2017-12-14,1321.60
2017-12-15,1324.55
2017-12-18,1331.75
2017-12-19,1349.70
2017-12-20,1362.65
2017-12-21,1348.45
2017-12-22,1356.50
2017-12-26,1348.10
2017-12-27,1352.45
2017-12-28,1354.50
2017-12-29,1367.85
2018-01-01,1344.50
2018-01-02,1338.60
2018-01-03,1350.35
2018-01-04,1352.25
2018-01-05,1356.55
2018-01-08,1368.40
2018-01-09,1361.30
2018-01-10,1365.80
2018-01-11,1378.65
2018-01-12,1374.00
2018-01-15,1367.20
2018-01-16,1382.00
2018-01-17,1371.20
2018-01-18,1356.95
2018-01-19,1362.45
2018-01-22,1355.10
2018-01-23,1368.35
2018-01-24,1365.90
2018-01-25,1372.75
2018-01-29,1397.30
2018-01-30,1400.25
2018-01-31,1369.35
2018-02-01,1371.25
2018-02-02,1372.20
2018-02-05,1355.75
2018-02-06,1325.35
2018-02-07,1312.65
2018-02-08,1329.55
2018-02-09,1333.05
2018-02-12,1344.45
2018-02-14,1349.40
2018-02-15,1358.15
2018-02-16,1352.10
2018-02-19,1335.90
2018-02-20,1331.80
2018-02-21,1330.60
2018-02-22,1326.45
2018-02-23,1323.15
2018-02-26,1333.30
2018-02-27,1346.35
2018-02-28,1317.75
2018-03-01,1324.25
2018-03-05,1299.75
2018-03-06,1293.20
2018-03-07,1293.85
2018-03-08,1293.15
2018-03-09,1300.75
2018-03-12,1324.20
2018-03-13,1320.55
2018-03-14,1316.90
2018-03-15,1299.95
2018-03-16,1299.15
2018-03-19,1309.40
2018-03-20,1313.25
2018-03-21,1315.60
2018-03-22,1311.85
2018-03-23,1301.65
2018-03-26,1324.30
2018-03-27,1332.80
2018-03-28,1333.35
2018-04-02,1351.30
2018-04-03,1348.40
2018-04-04,1357.45
2018-04-05,1382.20
2018-04-06,1374.80
2018-04-09,1391.60
2018-04-10,1391.50
2018-04-11,1409.15
2018-04-12,1412.75
2018-04-13,1410.55
2018-04-16,1419.50
2018-04-17,1445.55
2018-04-18,1450.50
2018-04-19,1454.20
2018-04-20,1467.80
2018-04-23,1452.75
2018-04-24,1459.65
2018-04-25,1459.20
2018-04-26,1491.25
2018-04-27,1473.95
2018-04-30,1508.90
2018-05-02,1471.95
2018-05-03,1452.20
2018-05-04,1464.20
2018-05-07,1497.90
2018-05-08,1496.05
2018-05-09,1496.00
2018-05-10,1486.50
2018-05-11,1504.10
2018-05-14,1503.55
2018-05-15,1515.50
2018-05-16,1574.10
2018-05-17,1569.80
2018-05-18,1605.80
2018-05-21,1578.65
2018-05-22,1574.30
2018-05-23,1568.10
2018-05-24,1561.10
2018-05-25,1575.75
2018-05-28,1582.85
2018-05-29,1572.70
2018-05-30,1585.80
2018-05-31,1611.45
2018-06-01,1588.85
2018-06-04,1563.20
2018-06-05,1562.80
2018-06-06,1571.15
