Date,HINDUNILVR.NS,Portfolio Value
2017-01-02,8253.50,8253.5
2017-01-03,8298.50,8298.5
2017-01-04,8216.00,8216.0
2017-01-05,8331.50,8331.5
2017-01-06,8337.50,8337.5
2017-01-09,8310.50,8310.5
2017-01-10,8305.50,8305.5
2017-01-11,8415.00,8415.0
2017-01-12,8259.00,8259.0
2017-01-13,8279.50,8279.5
2017-01-16,8275.00,8275.0
2017-01-17,8406.50,8406.5
2017-01-18,8649.50,8649.5
2017-01-19,8603.00,8603.0
2017-01-20,8604.50,8604.5
2017-01-23,8624.00,8624.0
2017-01-24,8603.50,8603.5
2017-01-25,8692.00,8692.0
2017-01-27,8559.50,8559.5
2017-01-30,8535.50,8535.5
2017-01-31,8554.00,8554.0
2017-02-01,8540.50,8540.5
2017-02-02,8453.00,8453.0
2017-02-03,8497.50,8497.5
2017-02-06,8605.50,8605.5
2017-02-07,8552.50,8552.5
2017-02-08,8529.50,8529.5
2017-02-09,8507.50,8507.5
2017-02-10,8509.00,8509.0
2017-02-13,8623.00,8623.0
2017-02-14,8481.50,8481.5
2017-02-15,8500.50,8500.5
2017-02-16,8461.00,8461.0
2017-02-17,8412.50,8412.5
2017-02-20,8544.50,8544.5
2017-02-21,8627.50,8627.5
2017-02-22,8641.50,8641.5
2017-02-23,8582.50,8582.5
2017-02-27,8664.50,8664.5
2017-02-28,8659.00,8659.0
2017-03-01,8755.00,8755.0
2017-03-02,8775.00,8775.0
2017-03-03,8771.50,8771.5
2017-03-06,8731.00,8731.0
2017-03-07,8720.50,8720.5
2017-03-08,8713.00,8713.0
2017-03-09,8703.00,8703.0
2017-03-10,8752.00,8752.0
2017-03-14,9137.50,9137.5
2017-03-15,9005.00,9005.0
2017-03-16,9062.00,9062.0
2017-03-17,9025.50,9025.5
2017-03-20,8984.50,8984.5
2017-03-21,9034.50,9034.5
2017-03-22,9049.50,9049.5
2017-03-23,9020.00,9020.0
2017-03-24,9002.00,9002.0
2017-03-27,8988.00,8988.0
2017-03-28,9031.00,9031.0
2017-03-29,9125.50,9125.5
2017-03-30,9192.00,9192.0
2017-03-31,9117.50,9117.5
2017-04-03,9206.50,9206.5
2017-04-05,9353.50,9353.5
2017-04-06,9346.50,9346.5
2017-04-07,9245.00,9245.0
2017-04-10,9259.50,9259.5
2017-04-11,9237.00,9237.0
2017-04-12,9237.50,9237.5
2017-04-13,9238.50,9238.5
2017-04-17,9140.50,9140.5
2017-04-18,9127.50,9127.5
2017-04-19,9085.50,9085.5
2017-04-20,9157.00,9157.0
2017-04-21,9064.00,9064.0
