Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,Portfolio Value
2017-01-02,2738.00,4477.50,9046.50,16262.0
2017-01-03,2739.50,4552.50,8966.00,16258.0
2017-01-04,2749.00,4531.00,9066.00,16346.0
2017-01-05,2875.00,4580.50,9165.00,16620.5
2017-01-06,2860.50,4552.00,9295.00,16707.5
2017-01-09,2847.00,4527.50,9101.00,16475.5
2017-01-10,2939.00,4473.50,9236.00,16648.5
2017-01-11,2956.50,4536.00,9346.50,16839.0
2017-01-12,2927.50,4552.00,9335.50,16815.0
2017-01-13,2940.50,4728.00,9332.50,17001.0
2017-01-16,3006.50,4772.50,9352.50,17131.5
2017-01-17,2948.50,4872.00,9601.50,17422.0
2017-01-18,2919.00,4885.00,9633.50,17437.5
2017-01-19,2953.50,4838.00,9627.00,17418.5
2017-01-20,2841.50,4507.50,9672.00,17021.0
2017-01-23,2862.50,4450.00,9647.00,16959.5
2017-01-24,2931.50,4512.50,9734.50,17178.5
2017-01-25,3046.50,4635.50,9777.00,17459.0
2017-01-27,3039.50,4728.50,9696.00,17464.0
2017-01-30,3026.00,4719.00,9732.00,17477.0
2017-01-31,2933.50,4660.00,9707.00,17300.5
2017-02-01,3046.00,4756.50,9910.00,17712.5
2017-02-02,3041.50,4825.50,9890.00,17757.0
2017-02-03,3035.50,4907.00,9859.00,17801.5
2017-02-06,3092.00,4983.00,9925.00,18000.0
2017-02-07,3036.50,4934.00,9993.00,17963.5
2017-02-08,3055.50,4876.00,9977.00,17908.5
2017-02-09,3048.00,4852.50,10028.50,17929.0
2017-02-10,3112.50,4889.00,9930.50,17932.0
2017-02-13,3095.50,4903.00,9847.50,17846.0
2017-02-14,3070.00,4869.00,9808.00,17747.0
2017-02-15,2999.50,4882.00,9817.00,17698.5
2017-02-16,2986.00,4931.50,9699.00,17616.5
2017-02-17,2972.50,4891.00,9608.00,17471.5
2017-02-20,3003.00,4810.50,9757.50,17571.0
2017-02-21,3041.50,5043.50,9915.00,18000.0
2017-02-22,3003.00,5253.00,10203.00,18459.0
2017-02-23,2972.50,5281.50,10090.00,18344.0
2017-02-27,2966.50,5089.50,10019.50,18075.5
2017-02-28,3017.50,5066.50,10242.00,18326.0
2017-03-01,3025.00,5134.00,10327.50,18486.5
2017-03-02,2938.50,5063.00,10287.50,18289.0
2017-03-03,2963.50,5129.00,10137.00,18229.5
2017-03-06,3031.50,5186.50,10294.00,18512.0
2017-03-07,3082.50,5118.00,10239.50,18440.0
2017-03-08,3065.00,5101.50,10225.50,18392.0
2017-03-09,3009.00,5164.00,10311.00,18484.0
2017-03-10,2988.00,5159.00,10302.50,18449.5
2017-03-14,3092.50,5109.00,10714.00,18915.5
2017-03-15,3103.00,5117.00,10640.50,18860.5
2017-03-16,3257.00,5136.50,10875.50,19269.0
2017-03-17,3254.00,5171.50,10794.50,19220.0
2017-03-20,3254.50,5028.50,10797.00,19080.0
2017-03-21,3257.50,4883.00,10687.00,18827.5
